Health Benefit Package - 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Medical Oncology,CT for Endometrial Cancer,Carboplatin + Paclitaxel,"14,900"
Medical Oncology,CT for Endometrial Cancer,Cisplatin + Doxorubicin,"4,200"
Medical Oncology,CT for Vulvar Cancer,Cisplatin + 5 FU,"7,600"
Medical Oncology,CT for Vulvar Cancer,Cisplatin,"2,200"
Medical Oncology,CT for Ewing Sarcoma,VTC + ITMZ for Relapsed Ewing Sarcoma,"22,400"
Medical Oncology,CT for Ewing Sarcoma,EFT 2001,"9,700"
Medical Oncology,CT for Ewing Sarcoma,VAC + IE,"12,500"
Medical Oncology,CT for Osteogenic Sarcoma,Methotrexate + Doxorubicin + Cisplatin,"21,800"
Medical Oncology,CT for Osteogenic Sarcoma,"Methotrexate + Doxorubicin + Cisplatin for
Relapsed Osteogenic Sarcoma","27,000"
Medical Oncology,CT for Osteogenic Sarcoma,OGS - 12,"29,600"
Medical Oncology,CT for Osteogenic Sarcoma,OGS - 12,"36,200"
Medical Oncology,CT for Soft Tissue Sarcoma,Gemcitabine + Docetaxel,"30,900"
Medical Oncology,CT for Soft Tissue Sarcoma,Ifosfamide+  Adriamycin,"13,700"
Medical Oncology,CT for Metastatic Melanoma,Dacarbazine + Cisplatin,"7,100"
Medical Oncology,CT for Metastatic Melanoma,Temozolamide,"23,100"
Medical Oncology,CT for Anal Cancer,5 FU + Mitomycin C,"10,500"
Medical Oncology,CT for Anal Cancer,Capecitabine + Mitomycin C,"13,800"
Medical Oncology,CT for Anal Cancer,Cisplatin + 5 FU,"7,600"
Medical Oncology,CT for Anal Cancer,Carboplatin + Paclitaxel,"14,900"
Medical Oncology,CT for Anal Cancer,Cisplatin + Paclitaxel,"13,300"
Medical Oncology,CT for Colorectal Cancer,5 FU + Leucovorin,"4,700"
Medical Oncology,CT for Colorectal Cancer,Capecitabine + Irinotecan,"12,500"
Medical Oncology,CT for Colorectal Cancer,Folfox,"11,100"
Medical Oncology,CT for Colorectal Cancer,Folfiri,"8,700"
Medical Oncology,CT for Colorectal Cancer,Capecitabine + Oxaliplatin,"16,500"
Medical Oncology,CT for Colorectal Cancer,Capecitabine,"7,200"
Medical Oncology,CT for Colorectal Cancer,Capecitabine,"7,300"
Medical Oncology,CT for Colorectal Cancer,Folfirinox,"15,100"
Medical Oncology,CT for Esophageal Cancer,Carboplatin + Paclitaxel,"14,900"
Medical Oncology,CT for Esophageal Cancer,Cisplatin + 5 FU,"9,600"
Medical Oncology,CT for Esophageal Cancer,Cisplatin + 5 FU,"9,600"
Medical Oncology,CT for Esophageal Cancer,"Paclitaxel + Carboplatin for definitive Non - metastatic
(With RT)","25,100"
Medical Oncology,CT for Esophageal Cancer,"Paclitaxel + Carboplatin for metastatic
(Without RT)","25,100"
Medical Oncology,CT for Esophageal / Stomach Cancer,Cisplatin + Docetaxel,"12,100"
Medical Oncology,CT for Esophageal / Stomach Cancer,Irinotecan,"8,300"
Medical Oncology,CT for Esophageal / Stomach Cancer,5 FU,"8,000"
Medical Oncology,CT for Esophageal / Stomach Cancer,Capecitabine,"7,200"
Medical Oncology,CT for Esophageal / Stomach Cancer,CAPOX,"16,500"
Medical Oncology,CT for Esophageal / Stomach Cancer,Docetaxel + Cisplatin + 5 FU,"16,400"
Medical Oncology,CT for Esophageal / Stomach Cancer,Docetaxel + Cisplatin + Xeloda,"19,700"
Medical Oncology,CT for Esophageal / Stomach Cancer,Docetaxel + Oxaliplatin + 5 FU,"20,400"
Medical Oncology,CT for Esophageal / Stomach Cancer,Docetaxel + Oxaliplatin + Xeloda,"24,900"
Medical Oncology,CT for Esophageal / Stomach Cancer,Folfiri,"8,700"
Medical Oncology,CT for Esophageal / Stomach Cancer,Folfox,"11,100"
Medical Oncology,CT for Esophageal / Stomach Cancer,Paclitaxel,"5,800"
Medical Oncology,CT for Hepatocellular Carcinoma,Doxorubicin,"10,000"
Medical Oncology,CT for Hepatocellular Carcinoma,Sorafenib,"7,400"
Medical Oncology,CT for Panceratic Cancer,Gemcitabine + Nanopaclitaxel,"23,500"
Medical Oncology,CT for Panceratic Cancer,Gemcitabine,"9,000"
Medical Oncology,CT for Panceratic Cancer,Gemcitabine,"9,000"
Medical Oncology,CT for Panceratic Cancer,Folfirinox,"15,500"
Medical Oncology,CT for Panceratic Cancer,Capecitabine,"7,400"
Medical Oncology,CT for Panceratic Cancer,Capecitabine + Gemcitabine,"31,500"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Capecitabine,"7,300"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Cisplatin + Gemcitabine,"10,900"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Folfiri,"8,900"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Gemcitabine,"9,000"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Gemcitabine,"8,900"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Oxaliplatin + Gemcitabine,"17,100"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,CAPIRI,"12,600"
Medical Oncology,CT for Gall Bladder Cancer / Cholangiocarcinoma,Folfox,"11,300"
Medical Oncology,CT for Gastointestinal stromal tumor,Imatinib,"19,400"
Medical Oncology,CT for Gastointestinal stromal tumor,Sunitinib,"24,400"
Medical Oncology,CT for CA Brain,Temozolamide,"13,000"
Medical Oncology,CT for CA Brain,Temozolamide,"67,600"
Medical Oncology,CT for Mesothelioma,Gemcitabine + Cisplatin,"11,100"
Medical Oncology,CT for Mesothelioma,Pemetrexed + Cisplatin,"9,200"
Medical Oncology,CT for Mesothelioma,Pemetrexed + Carboplatin,"10,000"
Medical Oncology,CT for Thymic Carcinoma,Cisplatin + Etoposide,"5,300"
Medical Oncology,CT for Thymic Carcinoma,Cisplatin + Adriamycin,"5,000"
Medical Oncology,CT for CA Head & Neck,Cisplatin + Docetaxel,"12,400"
Medical Oncology,CT for CA Head & Neck,Cisplatin,"9,800"
Medical Oncology,CT for CA Head & Neck,Carboplatin + Gemcitabine,"14,300"
Medical Oncology,CT for CA Head & Neck,Docetaxel + Cisplatin + 5 FU,"16,500"
Medical Oncology,CT for CA Head & Neck,Docetaxel,"15,000"
Medical Oncology,CT for CA Head & Neck,Docetaxel,"14,400"
Medical Oncology,CT for CA Head & Neck,Etoposide + Carboplatin,"7,100"
Medical Oncology,CT for CA Head & Neck,Etoposide + Cisplatin,"9,200"
Medical Oncology,CT for CA Head & Neck,Gemcitabine,"9,200"
Medical Oncology,CT for CA Head & Neck,Gemcitabine + Cisplatin,"11,100"
Medical Oncology,CT for CA Head & Neck,Paclitaxel + Carboplatin,"7,700"
Medical Oncology,CT for CA Head & Neck,Paclitaxel + Carboplatin,"15,100"
Medical Oncology,CT for CA Head & Neck,Paclitaxel,"5,700"
Medical Oncology,CT for CA Head & Neck,Paclitaxel,"12,200"
Medical Oncology,CT for CA Head & Neck,Carboplatin,"2,400"
Medical Oncology,CT for CA Head & Neck,Cisplatin,"2,200"
Medical Oncology,CT for Renal Cell Cancer,Sunitinib,"26,400"
Medical Oncology,CT for Ureter / Bladder / Urethra,Cisplatin + Methotrexate + Vinblastin,"6,000"
Medical Oncology,CT for Ureter / Bladder / Urethra,Carboplatin + Gemcitabine,"14,300"
Medical Oncology,CT for Ureter / Bladder / Urethra,Cisplatin + Gemcitabine,"11,100"
Medical Oncology,CT for Ureter / Bladder / Urethra,Cisplatin + 5 FU,"7,800"
Medical Oncology,CT for Ureter / Bladder / Urethra,Cisplatin + Paclitaxel,"13,500"
Medical Oncology,CT for Ureter / Bladder / Urethra,Docetaxel,"14,400"
Medical Oncology,CT for Ureter / Bladder / Urethra,Gemcitabine + Paclitaxel,"17,500"
Medical Oncology,CT for Ureter / Bladder / Urethra,Gemcitabine,"9,200"
Medical Oncology,CT for Ureter / Bladder / Urethra,Methotrexate + Vinblastin + Doxorubicin + Cisplati,"6,600"
Medical Oncology,CT for Ureter / Bladder / Urethra,Paclitaxel + Carboplatin,"15,100"
Medical Oncology,CT for Ureter / Bladder / Urethra,Paclitaxel,"5,700"
Medical Oncology,CT for CA Penis,Cisplatin + Paclitaxel,"13,500"
Medical Oncology,CT for CA Penis,5 FU + Cisplatin,"7,800"
Medical Oncology,CT for CA Penis,Capecitabine,"7,400"
Medical Oncology,CT for CA Penis,Paclitaxel + Carboplatin,"15,100"
Medical Oncology,CT for CA Penis,Paclitaxel,"5,700"
Medical Oncology,CT for CA Penis,Paclitaxel,"12,200"
Medical Oncology,CT for CA Penis,Paclitaxel + Carboplatin,"7,900"
Medical Oncology,CT for CA Prostate,Docetaxel,"11,700"
Medical Oncology,CT for CA Prostate,Docetaxel,"14,100"
Medical Oncology,CT for CA Prostate,Etoposide + Carboplatin,"7,100"
Medical Oncology,CT for CA Prostate,LHRH Agonist,"15,300"
Medical Oncology,CT for CA Prostate,Mitoxantrone + Prednisolone,"4,200"
Medical Oncology,CT for CA Prostate,Paclitaxel + Carboplatin,"7,700"
Medical Oncology,CT for CA Prostate,Paclitaxel + Carboplatin,"15,100"
Medical Oncology,CT for CA Prostate,Docetaxel,"14,700"
Medical Oncology,CT for B - Cell NHL - High Grade (Except Burkitt's & PCNSL),R - CEOP,"26,200"
Medical Oncology,"CT for B - Cell NHL - High Grade
(Except Burkitt's & PCNSL)",R - CHOP,"27,000"
Medical Oncology,CT for High - Grade NHL - B Cell,"Rituxmab + Dexamethasone +
High Dose Cytarabine + Cisplatin","34,900"
Medical Oncology,CT for Relapsed B - Cell NHL - High Grade (Except Burkitt's & PCNSL),GDP - R,"35,300"
Medical Oncology,CT for Relapsed B - Cell NHL - High Grade (Except Burkitt's & PCNSL),ICE - R,"31,900"
Medical Oncology,"CT for PMBCL / Burkitt's Lymphoma / Seropositive
B - Cell NHLR",EPOCH,"31,700"
Medical Oncology,CT for Burkitt's NHL,Codox - M - IVAC / GMALL / BFM / Hyper CVAD,"34,500"
Medical Oncology,CT for Low Grade B - Cell NHL,Bendamustine + Rituximab,"30,700"
Medical Oncology,CT for Low Grade B - Cell NHL,Lenalidomide + Rituximab,"27,500"
Medical Oncology,CT for Low Grade NHL,Rituximab,"24,800"
Medical Oncology,CT for Low Grade NHL,Rituximab + Cyclophosphamide + Vincristine + Prednisolone,"25,800"
Medical Oncology,CT for Chronic Lymphocytic Leukemia,Fludarabine + Cyclophosphamide,"18,100"
Medical Oncology,CT for Chronic Lymphocytic Leukemia,Rituxmab + Chlorambucil,"24,900"
Medical Oncology,CT for Chronic Lymphocytic Leukemia,Rituximab + Fludarabine + Cyclophosphamide,"40,700"
Medical Oncology,CT for Chronic Lymphocytic Leukemia,Lenalidomide,"4,800"
Medical Oncology,CT for Peripheral T - Cell Lymphoma,CHOEP,"5,000"
Medical Oncology,CT for Peripheral T - Cell Lymphoma,CHOP,"4,000"
Medical Oncology,CT for Peripheral T - Cell Lymphoma,SMILE,"19,300"
Medical Oncology,CT for NK - T Cell Lymphoma,GELOX,"18,900"
Medical Oncology,CT for NK - T Cell Lymphoma,LVP,"7,600"
Medical Oncology,CT for Hodgkin's Lymphoma,COPP,"3,600"
Medical Oncology,CT for Hodgkin's Lymphoma,ABVD,"10,200"
Medical Oncology,CT for Hodgkin's Lymphoma,AEVD,"10,200"
Medical Oncology,CT for Relapsed Hodgkin Lymphoma,ICE,"9,700"
Medical Oncology,CT for Relapsed Hodgkin Lymphoma,MINE,"9,700"
Medical Oncology,CT for Relapsed Hodgkin Lymphoma,PTCL - GDP,"12,500"
Medical Oncology,CT for Relapsed NHL & HL,DHAP,"11,500"
Medical Oncology,CT for MM / Amyloidosis / POEMS,LD,"6,000"
Medical Oncology,CT for MM / Amyloidosis / POEMS,POM DEX,"6,800"
Medical Oncology,CT for MM / Amyloidosis,CTD,"4,000"
Medical Oncology,CT for MM / Amyloidosis,MPT,"4,100"
Medical Oncology,CT for MM / Amyloidosis,VCD,"14,600"
Medical Oncology,CT for MM / Amyloidosis,VD,"13,300"
Medical Oncology,CT for MM / Amyloidosis,VMP,"12,600"
Medical Oncology,CT for MM / Amyloidosis,VRD,"17,800"
Medical Oncology,CT for MM / Amyloidosis,VTD,"15,000"
Medical Oncology,CT for Chronic Myeloid Leukemia,Imatinib,"19,400"
Medical Oncology,CT for Myeloproliferative Neoplasm,Hydroxurea,"2,200"
Medical Oncology,CT for Acute Myeloid Leukemia,Consolidation,"60,000"
Medical Oncology,CT for Acute Myeloid Leukemia,Induction,"96,000"
Medical Oncology,CT for Acute Lymphoblastic Leukemia,"Consolidation
(Phase II, CNS Therapy Reinduction)","160,000"
Medical Oncology,CT for Acute Lymphoblastic Leukemia,Induction,"80,000"
Medical Oncology,CT for Acute Lymphoblastic Leukemia,Maintenance,"4,000"
Medical Oncology,CT for Lymphoblastic Lymphoma,"Consolidation
(Phase II, CNS Therapy Reinduction)","160,000"
Medical Oncology,CT for Lymphoblastic Lymphoma,Induction,"80,000"
Medical Oncology,CT for Lymphoblastic Lymphoma,Maintenance,"4,000"
Medical Oncology,"CT for Acute Promyelocytic Leukemia
(High Risk)",High Risk Consolidation,"32,000"
Medical Oncology,CT for Acute Promyelocytic Leukemia (High Risk),High Risk Induction,"96,000"
Medical Oncology,"CT for Acute Promyelocytic Leukemia
(High Risk)",High Risk Maintenance,"8,000"
Medical Oncology,CT for Acute Promyelocytic Leukemia (Low Risk),Low Risk Consolidation,"12,000"
Medical Oncology,CT for Acute Promyelocytic Leukemia (Low Risk),Low Risk Induction,"80,000"
Medical Oncology,Febrile Neutopenia,First Line Antibiotics,"28,000"
Medical Oncology,Febrile Neutopenia,Second Line Antibiotics and Antifungals,"60,000"
Medical Oncology,"Chemotherapy Complications - Tumor Lysis
Syndrome","Chemotherapy Complications - Tumor Lysis
Syndrome","24,000"
Medical Oncology,Granulocyte Colony Stimulating Factor Use,Granulocyte Colony Stimulating Factor Use,"12,800"
Medical Oncology,CT for Langerhans Cell Histiocytosis,Langerhans Cell Histiocytosis (Histiocytosis Protocol - Induction),"22,400"
Medical Oncology,CT for Langerhans Cell Histiocytosis,"Langerhans Cell Histiocytosis
(Histiocytosis Protocol - Maintenance)","17,000"
Medical Oncology,CT for Low Grade Glioma,Vincristine + Carboplatin,"5,600"
Medical Oncology,CT for Low Grade Glioma,Vinblastin,"1,900"
Medical Oncology,CT for Medulloblastoma  / Brain PNET,PACKER,"4,900"
Medical Oncology,CT for Medulloblastoma / CNS PNET,CET,"8,300"
Medical Oncology,CT for Neuroblastoma,Cabroplatin + Etoposide + Cyclophosphamide + Doxorubicin,"7,900"
Medical Oncology,CT for Neuroblastoma,RAPID COJEC,"6,800"
